function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"  modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
","    modifier nonZeroEth() {
        require(msg.value != 0);
        _;
    }
",0x2f57384ea701c9d84d6ba0b6d00eecb4ae9fb0f5/StupidCrowdsale.sol:Ownable:onlyOwner(),0x5FC677acf6f93A6ff9bAE139bA85aea0A246D24d/HRACrowdfund.sol:HRACrowdfund:nonZeroEth(),2,1,0
"    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
","    function () public {
    }
",0x4c21f8b097afebc00ff26fe91e5f836229ed246f/BluToken.sol:BluToken:fallback(),0x0acc728ad6eb4908b751bef96b4c308b5e9948b4/Admined.sol:DeveryPresaleWhitelist:fallback(),1,1,0
"    function issue(address _to, uint256 _amount)
        public
        ownerOnly
        validAddress(_to)
        notThis(_to)
    {
        totalSupply = safeAdd(totalSupply, _amount);
        balanceOf[_to] = safeAdd(balanceOf[_to], _amount);

        emit Issuance(_amount);
        emit Transfer(this, _to, _amount);
    }
","    function isContract(address _addr) private view returns (bool) {
        uint length;
        assembly {
        //retrieve the size of the code on target address, this needs assembly
            length := extcodesize(_addr)
        }
        return (length>0);
    }
","0x1fc7afcd4b46c4180b449f16d93968f1b63161ae/BAYToken.sol:SmartToken:issue(address,uint256)",0x0dae7caf45d9c473a8f6ae0d4934e5c3b2dbc371/SafeGuardsPreSale.sol:SafeGuardsToken:isContract(address),1,1,0
"    function (){
        play_game(0);
    }
","  function () external payable {
    buyTokens(msg.sender);
  }
",0x5d5cd6acc5ec2485bc52517b144081634aba9b41/game.sol:game:fallback(),0x4b958074cee6546e29cdb3c43494e7425b85f59c/CareerChainPrivateSale.sol:Crowdsale:fallback(),1,1,0
"    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
","    function () {
        throw;     // Prevents accidental sending of ether
    }
",0x7a835d90800b6f4c17742cb56711c83c487cde56/AnesthesiaChain.sol:AnesthesiaChain:fallback(),0x0a284444a2787483add9b81fa825030d53916f5a/PhilCoin.sol:PhilCoin:fallback(),4,4,1
"    function Aeron() public {
        totalSupply = datboiSupply * 10 ** uint256(decimals);  // Update total supply with the decimal amount
        balanceOf[msg.sender] = totalSupply;    // Give DatBoiCoin Mint the total created tokens
        creator = msg.sender;
    }
","	function CIBNLiveInteractiveToken() public {
		owner = msg.sender;
		totalSupply = 50000000000000000000000000;
		balanceOf[owner]=totalSupply;
		tokenName=""CIBN Live Token"";
		tokenSymbol=""CIBN"";
	}
",0x4c3da77d8bce020d4128995d7f92c5bd0919fcc3/Aeron.sol:Aeron:Aeron(),0x8b801af263b32a118575fc85e44fa05a2e8f6b36/CIBNLiveInteractiveToken.sol:CIBNLiveInteractiveToken:CIBNLiveInteractiveToken(),1,1,0
"    function() payable{
        totalEthInWei = totalEthInWei + msg.value;
        uint256 amount = msg.value * unitsOneEthCanBuy;
        if (balances[fundsWallet] < amount) {
            return;
        }

        balances[fundsWallet] = balances[fundsWallet] - amount;
        balances[msg.sender] = balances[msg.sender] + amount;

        Transfer(fundsWallet, msg.sender, amount); 

       
        fundsWallet.transfer(msg.value);                               
    }
","  function() public {
    revert();
  }
",0x7cfa0624ce23b1b33f56ccc16f054bb4036ec553/CryptoGO.sol:CryptoGO:fallback(),0x2f13fa06c0efd2a5c4cf2175a0467084672e648b/MarketPlace.sol:MarketPlace:fallback(),1,1,0
"    modifier onlyRegisteredProvider(){
        if (!providerRegistry[msg.sender]) throw;
        _;
    }
","  modifier stopNonOwnersInEmergency {
    if (halted && msg.sender != owner) throw;
    _;
  }
",0x7a7bd6aead42b852fa7949c1e167bad5eff78415/SubscriptionModuleImpl.sol:SubscriptionModuleImpl:onlyRegisteredProvider(),0x7f9fa692e1b65d2b6d670feebd3e6bcc29606f14/PaymentForwarder.sol:Haltable:stopNonOwnersInEmergency(),2,2,0
"    modifier onlyOwner {
        require(msg.sender == owner);
        _;
    }
","    modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
",0x6c558a4976e751391fb73dd61fa6a72c318d80b5/BitQ.sol:Owned:onlyOwner(),0x2ef06079656f2ab9034b6252978c44104b7b2cc1/OOST.sol:Ownable:onlyOwner(),5,5,1
"	function NeoWorldCash() public {
		symbol = ""NASH"";
		name = ""NEOWORLD CASH"";
		decimals = 18;
		totalSupply = 100000000000 * 10**uint(decimals);
		balances[msg.sender] = totalSupply;
		emit Transfer(address(0), msg.sender, totalSupply);
	}
","    function Corethum() public {
        owner = msg.sender;
        balances[msg.sender] = totalSupply;
    }
",0x0a255f700b16c0acf5673565c757b94fb38b27f2/NeoWorldCash.sol:NeoWorldCash:NeoWorldCash(),0x3e664e6625222d06dbd27c424d9f6a553eff6d7d/Corethum.sol:Corethum:Corethum(),1,1,0
"    modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
","	modifier ownerDoesNotExist(address _owner) {
		require(!isOwner[_owner]);
		_;
	}
",0x1afb62c205d00ddc204a1b0bed31bda417b33a6c/GREENECO.sol:Ownable:onlyOwner(),0x0a9a88059c8d54af3d466020af987e98d4024219/BrokerInt.sol:MultiOwnable:ownerDoesNotExist(address),2,2,0
"    function uploadFinish() {
        readOnly = true;
    }
","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
      return allowed[_owner][_spender];
    }
",0x7f6e0d152df1a237450eeffa4f10623ba21a4df0/Storage.sol:Storage:uploadFinish(),"0x1a5d62355fdf317877c45f47da357f1ed64e4d61/LizaGo.sol:StandardToken:allowance(address,address)",1,1,0
"  function Ownable() {
    owner = msg.sender;
  }
","  function Ownable() public {
    owner = msg.sender;
  }
",0x8c78a83de6faa64b100b6055bdf3a1f0b445efd2/EthearnalRepToken.sol:Ownable:Ownable(),0x4e3b8c663d1a6620730dd68d65966b867d9e2f80/ListingsERC20.sol:Ownable:Ownable(),4,4,1
"    function () payable {
        createTokens(msg.sender);
    }
","    function () public {
        revert();
    }
",0x3b6fb225e6dcb23452b255ff3101d18328c429d1/Exploreon.sol:Exploreon:fallback(),0x0ee6071bc209c19161f6d17f8597d762b4d30806/CFL.sol:CFL:fallback(),1,1,0
"  function() public {
    revert();
  }
","    function() payable
    requireState(States.Ico)
    {
        require(msg.sender != whitelistControl);
        require(whitelist[msg.sender] == true);
        uint256 deepTokenIncrease = (msg.value * pointMultiplier) / tokenPriceInWei;
        require(getTokensAvailableForSale() >= deepTokenIncrease);
        require(block.number < endBlock);
        require(block.number >= startAcceptingFundsBlock);
        etherBalance = etherBalance.add(msg.value);
        balances[initialHolder] = balances[initialHolder].sub(deepTokenIncrease);
        balances[msg.sender] = balances[msg.sender].add(deepTokenIncrease);
        tokensSold = tokensSold.add(deepTokenIncrease);
        withdrawControl.transfer(msg.value);
        Credited(msg.sender, balances[msg.sender], msg.value);
    }
",0x2f23228b905ceb4734eb42d9b42805296667c93b/Coinchangex.sol:Coinchangex:fallback(),0x3dc865e42ec1c39093ff531fcfc1b4d502f52b4f/DeepToken.sol:DeepToken:fallback(),1,1,0
