threshold,TP,TN,FN,FP,Recall,Precision,F1_Score
0.0,152,0,0,1588,1.0,0.08735632183908046,0.160676532769556
0.01,152,0,0,1588,1.0,0.08735632183908046,0.160676532769556
0.02,152,10,0,1578,1.0,0.08786127167630058,0.16153028692879914
0.03,151,39,1,1549,0.993421052631579,0.0888235294117647,0.1630669546436285
0.04,151,60,1,1528,0.993421052631579,0.08993448481238833,0.1649371927908247
0.05,151,80,1,1508,0.993421052631579,0.09101868595539482,0.16675869685256767
0.06,151,96,1,1492,0.993421052631579,0.09190505173463177,0.16824512534818942
0.07,151,111,1,1477,0.993421052631579,0.09275184275184276,0.16966292134831462
0.08,151,114,1,1474,0.993421052631579,0.09292307692307693,0.16994935284186832
0.09,151,117,1,1471,0.993421052631579,0.09309494451294698,0.1702367531003382
0.1,151,124,1,1464,0.993421052631579,0.0934984520123839,0.17091114883984154
0.11,151,128,1,1460,0.993421052631579,0.09373060211049038,0.17129892229154847
0.12,151,136,1,1452,0.993421052631579,0.0941983780411728,0.1720797720797721
0.13,151,142,1,1446,0.993421052631579,0.09455228553537884,0.1726700971983991
0.14,151,147,1,1441,0.993421052631579,0.09484924623115577,0.1731651376146789
0.15,151,156,1,1432,0.993421052631579,0.09538850284270373,0.17406340057636888
0.16,151,160,1,1428,0.993421052631579,0.09563014566181127,0.17446562680531486
0.17,151,170,1,1418,0.993421052631579,0.09623964308476737,0.17547937245787334
0.18,151,173,1,1415,0.993421052631579,0.09642401021711366,0.17578579743888242
0.19,151,182,1,1406,0.993421052631579,0.09698137443802184,0.17671152720889408
0.2,151,200,1,1388,0.993421052631579,0.09811565951916829,0.1785925487876996
0.21,151,212,1,1376,0.993421052631579,0.09888670595939751,0.17986896962477666
0.22,151,222,1,1366,0.993421052631579,0.0995385629531971,0.18094667465548234
0.23,151,236,1,1352,0.993421052631579,0.10046573519627412,0.1824773413897281
0.24,151,258,1,1330,0.993421052631579,0.10195813639432816,0.18493570116350275
0.25,151,262,1,1326,0.993421052631579,0.10223425863236289,0.185389809699202
0.26,151,266,1,1322,0.993421052631579,0.10251188051595383,0.18584615384615383
0.27,151,285,1,1303,0.993421052631579,0.10385144429160935,0.1880448318804483
0.28,151,291,1,1297,0.993421052631579,0.1042817679558011,0.18875000000000003
0.29,151,312,1,1276,0.993421052631579,0.10581639803784162,0.19126029132362254
0.3,151,329,1,1259,0.993421052631579,0.10709219858156029,0.19334186939820744
0.31,151,343,1,1245,0.993421052631579,0.10816618911174786,0.1950904392764858
0.32,151,357,1,1231,0.993421052631579,0.10926193921852388,0.19687092568448503
0.33,151,368,1,1220,0.993421052631579,0.11013858497447118,0.19829284307288247
0.34,151,378,1,1210,0.993421052631579,0.1109478324761205,0.1996034368803701
0.35,151,403,1,1185,0.993421052631579,0.11302395209580839,0.20295698924731184
0.36,150,422,2,1166,0.9868421052631579,0.11398176291793313,0.20435967302452318
0.37,147,451,5,1137,0.9671052631578947,0.11448598130841121,0.20473537604456826
0.38,147,479,5,1109,0.9671052631578947,0.11703821656050956,0.2088068181818182
0.39,147,500,5,1088,0.9671052631578947,0.11902834008097166,0.21196827685652483
0.4,147,514,5,1074,0.9671052631578947,0.12039312039312039,0.21412964311726146
0.41,147,526,5,1062,0.9671052631578947,0.12158808933002481,0.216017634092579
0.42,147,544,5,1044,0.9671052631578947,0.12342569269521411,0.21891288160833952
0.43,147,560,5,1028,0.9671052631578947,0.1251063829787234,0.22155237377543333
0.44,147,579,5,1009,0.9671052631578947,0.12716262975778547,0.22477064220183487
0.45,147,596,5,992,0.9671052631578947,0.12906057945566285,0.2277304415182029
0.46,147,619,5,969,0.9671052631578947,0.13172043010752688,0.2318611987381703
0.47,147,633,5,955,0.9671052631578947,0.13339382940108893,0.2344497607655502
0.48,147,649,5,939,0.9671052631578947,0.13535911602209943,0.23747980613893374
0.49,147,663,5,925,0.9671052631578947,0.13712686567164178,0.24019607843137256
0.5,147,676,5,912,0.9671052631578947,0.1388101983002833,0.24277456647398846
0.51,147,704,5,884,0.9671052631578947,0.1425800193986421,0.24852071005917156
0.52,147,731,5,857,0.9671052631578947,0.14641434262948208,0.2543252595155709
0.53,147,745,5,843,0.9671052631578947,0.1484848484848485,0.25744308231173385
0.54,147,761,5,827,0.9671052631578947,0.15092402464065707,0.261101243339254
0.55,147,783,5,805,0.9671052631578947,0.15441176470588236,0.266304347826087
0.56,147,815,5,773,0.9671052631578947,0.15978260869565217,0.27425373134328357
0.57,147,852,5,736,0.9671052631578947,0.1664779161947905,0.28405797101449276
0.58,147,886,5,702,0.9671052631578947,0.17314487632508835,0.29370629370629375
0.59,147,909,5,679,0.9671052631578947,0.17796610169491525,0.3006134969325154
0.6,147,934,5,654,0.9671052631578947,0.18352059925093633,0.30849947534102834
0.61,147,977,5,611,0.9671052631578947,0.19393139841688653,0.32307692307692304
0.62,147,1012,5,576,0.9671052631578947,0.2033195020746888,0.336
0.63,147,1048,5,540,0.9671052631578947,0.21397379912663755,0.3504171632896305
0.64,147,1084,5,504,0.9671052631578947,0.22580645161290322,0.36612702366127026
0.65,147,1103,5,485,0.9671052631578947,0.23259493670886075,0.375
0.66,147,1121,5,467,0.9671052631578947,0.23941368078175895,0.38381201044386426
0.67,147,1143,5,445,0.9671052631578947,0.2483108108108108,0.3951612903225806
0.68,147,1160,5,428,0.9671052631578947,0.25565217391304346,0.40440165061898203
0.69,147,1176,5,412,0.9671052631578947,0.2629695885509839,0.41350210970464135
0.7,147,1202,5,386,0.9671052631578947,0.275797373358349,0.42919708029197084
0.71,147,1263,5,325,0.9671052631578947,0.3114406779661017,0.4711538461538462
0.72,147,1287,5,301,0.9671052631578947,0.328125,0.49
0.73,147,1306,5,282,0.9671052631578947,0.34265734265734266,0.5060240963855421
0.74,146,1329,6,259,0.9605263157894737,0.36049382716049383,0.5242369838420108
0.75,137,1354,15,234,0.9013157894736842,0.3692722371967655,0.5239005736137667
0.76,137,1361,15,227,0.9013157894736842,0.37637362637362637,0.5310077519379846
0.77,137,1368,15,220,0.9013157894736842,0.38375350140056025,0.5383104125736738
0.78,137,1435,15,153,0.9013157894736842,0.4724137931034483,0.6199095022624435
0.79,137,1462,15,126,0.9013157894736842,0.5209125475285171,0.6602409638554217
0.8,137,1483,15,105,0.9013157894736842,0.5661157024793388,0.6954314720812182
0.81,137,1491,15,97,0.9013157894736842,0.5854700854700855,0.7098445595854923
0.82,137,1523,15,65,0.9013157894736842,0.6782178217821783,0.7740112994350282
0.83,127,1540,25,48,0.8355263157894737,0.7257142857142858,0.7767584097859327
0.84,127,1549,25,39,0.8355263157894737,0.7650602409638554,0.7987421383647798
0.85,127,1557,25,31,0.8355263157894737,0.8037974683544303,0.8193548387096773
0.86,127,1562,25,26,0.8355263157894737,0.8300653594771242,0.8327868852459017
0.87,127,1567,25,21,0.8355263157894737,0.8581081081081081,0.8466666666666667
0.88,121,1571,31,17,0.7960526315789473,0.8768115942028986,0.8344827586206897
0.89,121,1572,31,16,0.7960526315789473,0.8832116788321168,0.8373702422145328
0.9,121,1573,31,15,0.7960526315789473,0.8897058823529411,0.8402777777777778
0.91,121,1575,31,13,0.7960526315789473,0.9029850746268657,0.8461538461538461
0.92,115,1575,37,13,0.756578947368421,0.8984375,0.8214285714285714
0.93,114,1576,38,12,0.75,0.9047619047619048,0.8201438848920864
0.94,107,1585,45,3,0.7039473684210527,0.9727272727272728,0.8167938931297711
0.95,106,1585,46,3,0.6973684210526315,0.9724770642201835,0.8122605363984675
0.96,105,1586,47,2,0.6907894736842105,0.9813084112149533,0.8108108108108109
0.97,104,1586,48,2,0.6842105263157895,0.9811320754716981,0.8062015503875968
0.98,103,1586,49,2,0.6776315789473685,0.9809523809523809,0.8015564202334631
0.99,102,1586,50,2,0.6710526315789473,0.9807692307692307,0.7968749999999999
