function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"  function mulSafe(uint256 a, uint256 b) internal pure returns (uint256) {
    if (a == 0) {
       return 0;
     }
     uint256 c = a * b;
     assert(c / a == b);
     return c;
   }
","  function mul(uint256 a, uint256 b) internal pure returns (uint256) {
    if (a == 0) {
      return 0;
    }
    uint256 c = a * b;
    assert(c / a == b);
    return c;
  }
","0x3c1b1abf64a441bc106e055cdc89ba4ca005993e/HGToken.sol:SafeMath:mulSafe(uint256,uint256)","0x6a190eef45f589373a463afb3b90493e696c45e2/Tokenizator.sol:SafeMath:mul(uint256,uint256)",4,4,1
"     function allowance(address _owner, address _spender) constant returns (uint256 remaining)
     {
        return allowed[_owner][_spender];
     }
","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
      return allowed[_owner][_spender];
    }
","0x3ce072b9ec58bd88e350cbd17537c9190fc67b2b/BIZToken.sol:BIZToken:allowance(address,address)","0x5b43d6ac79bc4b89ca1f9cfd5b76f7355aae2781/ACIFToken.sol:StandardToken:allowance(address,address)",5,5,1
"    function acupuncturecoin(
        uint256 initialSupply,
        string tokenName,
        string tokenSymbol
    ) public {
        totalSupply = initialSupply * 10 ** uint256(decimals);  // Update total supply with the decimal amount
        balanceOf[msg.sender] = totalSupply;                // Give the creator all initial tokens
        name = tokenName;                                   // Set the name for display purposes
        symbol = tokenSymbol;                               // Set the symbol for display purposes
    }
","    function LBL (
        uint256 initialSupply,
        string tokenName,
        string tokenSymbol
    ) public {
        totalSupply = initialSupply * 10 ** uint256(decimals);  // Update total supply with the decimal amount
        balanceOf[msg.sender] = totalSupply;                // Give the creator all initial tokens
        name = tokenName;                                   // Set the name for display purposes
        symbol = tokenSymbol;                               // Set the symbol for display purposes
    }
","0x8a95e5488153724d5bfd37a17b0608c8d7d31202/acupuncturecoin.sol:acupuncturecoin:acupuncturecoin(uint256,string,string)","0x5eab901c61b4c4775349e6bb6e78ce3f4d496b0d/LBL.sol:LBL:LBL(uint256,string,string)",4,4,1
"    function transfer(address _to, uint256 _value) public {

        _transfer(msg.sender, _to, _value);
    }
","    function transfer(address _to, uint256 _value) public {
        _transfer(msg.sender, _to, _value);
    }
","0x8c2dd6875edaf3118f1c565d0f9a087fcb87d579/MeiTuanToken.sol:MeiTuanToken:transfer(address,uint256)","0x4aae3a2da70c499797edf4a4139b68454ec07883/JOUL3SToken.sol:JOUL3SToken:transfer(address,uint256)",5,5,1
"    function sub(uint256 a, uint256 b) internal pure returns (uint256) {
      assert(b <= a);
      return a - b;
    }
","  function sub(uint256 a, uint256 b) internal pure returns (uint256) {
    assert(b <= a);
    return a - b;
  }
","0x3a7a5ba347928dfc8a748b5e55558d5fee84a2a9/MPToken.sol:SafeMath:sub(uint256,uint256)","0x6b9d422cc05029d1324fc5b007aff49e2ab54882/CnytCoin.sol:SafeMath:sub(uint256,uint256)",4,5,1
"  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    Transfer(msg.sender, _to, _value);
    return true;
  }
","  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
  }
","0x4a908fa1623bb7142fefb82838550a0381838bef/Altn.sol:AltnBasic:transfer(address,uint256)","0x3decf246a76a8c264a7d589779ee1d5f5f2170af/VisualChain.sol:BasicToken:transfer(address,uint256)",4,4,1
"    function transferOwnership(address newOwner) onlyOwner public {
        require(newOwner != address(0));
        OwnershipTransferred(owner, newOwner);
        owner = newOwner;
    }
","function transferOwnership(address newOwner) public onlyOwner {
require(newOwner != address(0));
OwnershipTransferred(owner, newOwner);
owner = newOwner;
}
",0x6bc8b04d3904967989b0f2bc91b32494f36f82c2/msc.sol:Ownable:transferOwnership(address),0x6b62f8458fbecc2ed07021c823a1ebb537641ffb/KickSportsManager.sol:Ownable:transferOwnership(address),5,5,1
"	function add(uint256 a, uint256 b) internal pure returns (uint256) {
		uint256 c = a + b;
		assert(a <= c);
		return c;
	}
","    function add(uint256 a, uint256 b) internal pure returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);
        return c;
    }
","0x2fB96a6CA0e940eD219e9386210e6CF299295FFE/GermaineIfuduPrivateSale.sol:SafeMath:add(uint256,uint256)","0x00ec053f75a8189ef0763c88e483be4da40522ef/UBOToken.sol:SafeMath:add(uint256,uint256)",4,4,1
"    function allowance(address tokenOwner, address spender) public constant returns (uint remaining) {
        return allowed[tokenOwner][spender];
    }
","    function allowance(address tokenOwner, address spender) public constant returns (uint remaining) {
        return allowed[tokenOwner][spender];
    }
","0x6c558a4976e751391fb73dd61fa6a72c318d80b5/BitQ.sol:BitQ:allowance(address,address)","0x1f1777bff69a8e5c880c9ebb79c9b94fe9883321/DarenHui.sol:DarenHui:allowance(address,address)",5,5,1
"    function increaseApproval(address _spender, uint _addedValue) public returns (bool) {
        allowed[msg.sender][_spender] = allowed[msg.sender][_spender].add(_addedValue);
        Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
        return true;
    }
","  function increaseApproval (address _spender, uint _addedValue)
    returns (bool success) {
    allowed[msg.sender][_spender] = allowed[msg.sender][_spender].add(_addedValue);
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
","0x6bc8b04d3904967989b0f2bc91b32494f36f82c2/msc.sol:StandardToken:increaseApproval(address,uint256)","0x7a3846ee59d2a02e3e91362bd3545c88d029a238/EtherBB.sol:StandardToken:increaseApproval(address,uint256)",4,4,1
