function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"    function unlock() public only_owner returns (bool)  {
        locked = false;
        return !locked;
    }
","    function approve(address _spender, uint _value) public returns (bool) {
        return super.approve(_spender, _value);
    }
",0x3e250a4f78410c29cfc39463a81f14a226690eb4/DRPSToken.sol:ManagedToken:unlock(),"0x3e250a4f78410c29cfc39463a81f14a226690eb4/DRPSToken.sol:ManagedToken:approve(address,uint256)",5,5,1
"    function burnFrom(address _from, uint256 _value) public returns (bool success) {
        require(balanceOf[_from] >= _value);
        require(_value <= allowance[_from][msg.sender]);
        balanceOf[_from] -= _value;
        allowance[_from][msg.sender] -= _value;
        totalSupply -= _value;
        Burn(_from, _value);
        return true;
    }
","    function burn(uint256 _value) public returns (bool success) {
        require(balanceOf[msg.sender] >= _value);
        balanceOf[msg.sender] -= _value;
        totalSupply -= _value;
        Burn(msg.sender, _value);
        return true;
    }
","0x1a86b24ca84aa7049a974bb6db83f0bd80c60713/DCoin.sol:TokenERC20:burnFrom(address,uint256)",0x1a86b24ca84aa7049a974bb6db83f0bd80c60713/DCoin.sol:TokenERC20:burn(uint256),4,4,1
"  function add(uint256 a, uint256 b) internal pure returns (uint256) {
	uint256 c = a + b;
	assert(c >= a);
	return c;
  }
","  function sub(uint256 a, uint256 b) internal pure returns (uint256) {
	assert(b <= a);
	return a - b;
  }
","0x3a018b8245b6d9b0abc2808eb4be03a17e0fecf8/Cryptoya.sol:SafeMath:add(uint256,uint256)","0x3a018b8245b6d9b0abc2808eb4be03a17e0fecf8/Cryptoya.sol:SafeMath:sub(uint256,uint256)",4,4,1
"		function	getData_13	()	public	constant	returns	(	string	)	{
			return	inData_13	;						
		}									
","		function	getData_31	()	public	constant	returns	(	string	)	{
			return	inData_31	;						
		}									
",0x7e36c703eca838934bb562da29c1422852ccf5e3/BIPOOH_DAO_32_a.sol:BIPOOH_DAO_32_a:getData_13(),0x7e36c703eca838934bb562da29c1422852ccf5e3/BIPOOH_DAO_32_a.sol:BIPOOH_DAO_32_a:getData_31(),5,5,1
"	function	getPOOL_edit_1	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_1	;						
	}									
","	function	setPOOL_edit_34	(	string	newPOOL_edit_34	)	public	onlyOwner	{	
		inPOOL_edit_34	=	newPOOL_edit_34	;					
	}									
",0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:getPOOL_edit_1(),0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:setPOOL_edit_34(string),5,5,1
"	function	getPI_edit_28	()	public	constant	returns	(	string	)	{
		return	inPI_edit_28	;						
	}									
","	function	setPI_edit_9	(	string	newPI_edit_9	)	public	onlyOwner	{	
		inPI_edit_9	=	newPI_edit_9	;					
	}									
",0x8c1fdbdc6639923965b23d4d010245dcaf8f1cdb/PI_EDIT_1.sol:PI_EDIT_1:getPI_edit_28(),0x8c1fdbdc6639923965b23d4d010245dcaf8f1cdb/PI_EDIT_1.sol:PI_EDIT_1:setPI_edit_9(string),4,4,0
"	function purchaseTo(address _recipient)
		only_certified(msg.sender)
		payable
		public
	{
		processPurchase(_recipient);
	}
","	modifier only_certified(address who) { require (CERTIFIER.certified(who)); _; }
",0x7a3ffe753a209cc8281d68356270e6848f098f71/AmbrosusSale.sol:AmbrosusSale:purchaseTo(address),0x7a3ffe753a209cc8281d68356270e6848f098f71/AmbrosusSale.sol:AmbrosusSale:only_certified(address),5,5,1
"  function transfer(address _to, uint _value) onlyPayloadSize(2 * 32) {
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    Transfer(msg.sender, _to, _value);
  }
","  function balanceOf(address _owner) constant returns (uint balance) {
    return balances[_owner];
  }
","0x3dd2ecaa49df3306c1332d2b858dfe8268314a5c/DigiassetzToken.sol:BasicToken:transfer(address,uint256)",0x3dd2ecaa49df3306c1332d2b858dfe8268314a5c/DigiassetzToken.sol:BasicToken:balanceOf(address),4,4,1
"	function	getPOOL_edit_8	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_8	;						
	}									
","	function	getPOOL_edit_15	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_15	;						
	}									
",0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:getPOOL_edit_8(),0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:getPOOL_edit_15(),4,4,0
"	function	PI_EDIT_1		()	public	{				
		owner	= msg.sender;							
	}									
","	function	getPI_edit_33	()	public	constant	returns	(	string	)	{
		return	inPI_edit_33	;						
	}									
",0x8c1fdbdc6639923965b23d4d010245dcaf8f1cdb/PI_EDIT_1.sol:PI_EDIT_1:PI_EDIT_1(),0x8c1fdbdc6639923965b23d4d010245dcaf8f1cdb/PI_EDIT_1.sol:PI_EDIT_1:getPI_edit_33(),5,5,1
