rate,times
0.0,33233
0.01,8887
0.02,5538
0.03,5008
0.04,3419
0.05,3386
0.06,2865
0.07,2183
0.08,2062
0.09,1916
0.1,1455
0.11,2318
0.12,2195
0.13,1476
0.14,2045
0.15,1987
0.16,1678
0.17,1911
0.18,1037
0.19,1590
0.2,3303
0.21,675
0.22,965
0.23,1582
0.24,1558
0.25,3095
0.26,922
0.27,881
0.28,1141
0.29,2736
0.3,2031
0.31,1471
0.32,1324
0.33,4395
0.34,1442
0.35,1760
0.36,2381
0.37,1619
0.38,2288
0.39,402
0.4,3759
0.41,528
0.42,581
0.43,1634
0.44,3146
0.45,1248
0.46,1679
0.47,1897
0.48,681
0.49,706
0.5,15444
0.51,517
0.52,855
0.53,1094
0.54,749
0.55,386
0.56,796
0.57,1007
0.58,1473
0.59,1681
0.6,2815
0.61,946
0.62,784
0.63,481
0.64,1717
0.65,1317
0.66,370
0.67,8573
0.68,1156
0.69,1566
0.7,855
0.71,1545
0.72,1438
0.73,3660
0.74,2779
0.75,5364
0.76,1663
0.77,1230
0.78,2478
0.79,1488
0.8,13523
0.81,1982
0.82,2789
0.83,3971
0.84,3197
0.85,3569
0.86,4081
0.87,3477
0.88,3267
0.89,4699
0.9,3947
0.91,4767
0.92,4452
0.93,4079
0.94,4544
0.95,5244
0.96,3725
0.97,7943
0.98,8478
0.99,11568
1.0,146216
