compisition count,calls,percentage1,calls + function clone,percentage2
"[0,10)",80158,0.9966057863261678,50207,0.6242244905571235
"[10,20)",242,0.0030087901431040272,3324,0.041327348907759444
"[20,30)",15,0.00018649525680396862,2321,0.02885703273613408
"[30,40)",9,0.00011189715408238117,2155,0.02679315189417016
"[40,50)",2,2.486603424052915e-05,553,0.00687545846750631
"[50,60)",0,0.0,396,0.004923474779624772
"[60,70)",5,6.216508560132288e-05,1102,0.013701184866531562
"[70,100)",0,0.0,761,0.009461526028521341
"[100,1000)",0,0.0,13776,0.17127724384876478
"[1000,2000)",0,0.0,619,0.007696037597443772
"[2000,3000)",0,0.0,0,0.0
"[3000,4000)",0,0.0,0,0.0
"[4000,5000)",0,0.0,1402,0.017431090002610932
"[5000,6000)",0,0.0,1722,0.021409655481095597
"[6000, 6000+",0,0.0,2093,0.026022304832713755
