Composition Count,used it,,used it + similar clone,
,Num,Percentage,Num,Percentage
"[0,10)",80188,99.661%,46128,57.330%
"[10,20)",242,0.301%,5194,6.455%
"[20,30)",15,0.019%,1911,2.375%
"[30,40)",9,0.011%,2794,3.472%
"[40,50)",2,0.002%,449,0.558%
"[50,60)",0,0.000%,157,0.195%
"[60,70)",5,0.006%,1029,1.279%
"[70,100)",0,0.000%,1197,1.488%
"[100,1000)",0,0.000%,14861,18.470%
"[1000,2000)",0,0.000%,1086,1.350%
"[2000,3000)",0,0.000%,0,0.000%
"[3000,4000)",0,0.000%,0,0.000%
"[4000,5000)",0,0.000%,6,0.007%
"[5000,6000)",0,0.000%,3533,4.391%
"[6000, 6000+)",0,0.000%,2116,2.630%
