FEN:ID,Function Code,composition count before accumulation,composition count after accumulation
0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:owned:constructor(),"    constructor() public {
        owner = msg.sender;
    }
",0,6
0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:owned:onlyOwner(),"    modifier onlyOwner {
        require(msg.sender == owner);
        _;
    }
",3,8910
0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:owned:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner public {
        owner = newOwner;
    }
",0,5
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:SafeMath:mul(uint256,uint256)","  function mul(uint256 a, uint256 b) internal pure returns (uint256) {
    if (a == 0) {
      return 0;
    }
    uint256 c = a * b;
    assert(c / a == b);
    return c;
  }
",0,1101
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:SafeMath:div(uint256,uint256)","  function div(uint256 a, uint256 b) internal pure returns (uint256) {
    // assert(b > 0); // Solidity automatically throws when dividing by 0
    uint256 c = a / b;
    // assert(a == b * c + a % b); // There is no case in which this doesn't hold
    return c;
  }
",0,624
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:SafeMath:sub(uint256,uint256)","  function sub(uint256 a, uint256 b) internal pure returns (uint256) {
    assert(b <= a);
    return a - b;
  }
",3,5487
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:SafeMath:add(uint256,uint256)","  function add(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a + b;
    assert(c >= a);
    return c;
  }
",3,5961
0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:BasicToken:totalSupply(),"  function totalSupply() public view returns (uint256) {
    return totalSupply_;
  }
",0,13
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:BasicToken:transfer(address,uint256)","  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    // SafeMath.sub will throw if there is not enough balance.
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
  }
",0,329
0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:BasicToken:balanceOf(address),"  function balanceOf(address _owner) public view returns (uint256 balance) {
    return balances[_owner];
  }
",0,226
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:StandardToken:transferFrom(address,address,uint256)","  function transferFrom(address _from, address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[_from]);
    require(_value <= allowed[_from][msg.sender]);

    balances[_from] = balances[_from].sub(_value);
    balances[_to] = balances[_to].add(_value);
    allowed[_from][msg.sender] = allowed[_from][msg.sender].sub(_value);
    emit Transfer(_from, _to, _value);
    return true;
  }
",0,253
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:StandardToken:approve(address,uint256)","  function approve(address _spender, uint256 _value) public returns (bool) {
    require((_value == 0) || allowed[msg.sender][_spender]== 0);
    allowed[msg.sender][_spender] = _value;
    emit Approval(msg.sender, _spender, _value);
    return true;
  }
",0,22
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:StandardToken:allowance(address,address)","  function allowance(address _owner, address _spender) public view returns (uint256) {
    return allowed[_owner][_spender];
  }
",0,6
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:StandardToken:increaseApproval(address,uint256)","  function increaseApproval(address _spender, uint _addedValue) public returns (bool) {
    allowed[msg.sender][_spender] = allowed[msg.sender][_spender].add(_addedValue);
    emit Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
",0,172
"0x2c5dcd12141c56fbea08e95f54f12c8b22d492eb/USDCoinToken.sol:StandardToken:decreaseApproval(address,uint256)","  function decreaseApproval(address _spender, uint _subtractedValue) public returns (bool) {
    uint oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    emit Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
",0,172
"0x2fc53e1a21da0a3047fc7244f04f10c796543c75/HumanStandardToken.sol:StandardToken:transfer(address,uint256)","    function transfer(address _to, uint256 _value) returns (bool success) {
        //Default assumes totalSupply can't be over max (2^256 - 1).
        //If your token leaves out totalSupply and can issue more tokens as time goes on, you need to check if it doesn't wrap.
        //Replace the if with this one instead.
        //if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
        if (balances[msg.sender] >= _value && _value > 0) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
",0,13
