FEN:ID,Function Code,Comment before Propatation,Comment after Propagation,label1,label2,label
"0x2af6139c39c05e0597c0ac12c60b303c38aa69e7/HIT.sol:HIT:allowance(address,address)","    function allowance(address _owner, address _spender) constant public returns (uint256) {
        return allowed[_owner][_spender];
    }
",no comment,"
  /**
   * @dev Function to check the amount of tokens that an owner allowed to a spender.
   * @param _owner address The address which owns the funds.
   * @param _spender address The address which will spend the funds.
   * @return A uint256 specifying the amount of tokens still available for the spender.
   */
",5,5,1.0
"0x0a40E12618c3bd5295F39416506b86A70b52e08f/DASToken.sol:SafeMath:safeSub(uint256,uint256)","    function safeSub(uint256 x, uint256 y) constant internal returns (uint256 z) {
        if (x < y) throw;
        return x - y;
    }
",no comment,"
  /**
   * Subtract one uint256 value from another, throw in case of underflow.
   *
   * @param x value to subtract from
   * @param y value to subtract
   * @return x - y
   */
",5,5,1.0
"0x2dda95e0b2e63c8bf6f99fd396e1c85941c04e69/Rhodium.sol:SafeMath:sub(uint256,uint256)","		function sub(uint256 a, uint256 b) internal pure returns (uint256) {
			assert(b <= a);
			return a - b;
		}
",no comment,"
  /**
  * @dev Substracts two numbers, throws on overflow (i.e. if subtrahend is greater than minuend).
  */
",5,5,1.0
0x07eefa3789a3298bf62f0427f07bcd1127322424/KellerWilliams.sol:KellerWilliams:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner public {
        if (newOwner != address(0)) {
            owner = newOwner;
        }
    }
",no comment,"
    /**
     * @dev Allows the current owner to transfer control of the contract to a newOwner.
     * @param newOwner The address to transfer ownership to. 
     */
",5,5,1.0
"0x0d44b2757f1b6c742ff8707f6eb298a7da1981af/KRWT.sol:ERC827Token:decreaseApproval(address,uint256,bytes)","  function decreaseApproval(address _spender, uint _subtractedValue, bytes _data) public returns (bool) {
    require(_spender != address(this));

    super.decreaseApproval(_spender, _subtractedValue);

    require(_spender.call(_data));

    return true;
  }
",no comment,"
    /**
     * @dev Addition to StandardToken methods. Decrease the amount of tokens that
     * an owner allowed to a spender and execute a call with the sent data.
     *
     * approve should be called when allowed[_spender] == 0. To decrement
     * allowed value is better to use this function to avoid 2 calls (and wait until
     * the first transaction is mined)
     * From MonolithDAO Token.sol
     * @param _spender The address which will spend the funds.
     * @param _subtractedValue The amount of tokens to decrease the allowance by.
     * @param _data ABI-encoded contract call to call `_spender` address.
     */
",4,4,1.0
"0x4b9f8c439419fb30092a57cdb7e18373b6a65b9c/CSCToken.sol:ERC20Basic:transfer(address,uint256)","  function transfer(address to, uint256 value) public returns (bool);
",no comment,"
  /**
  * @dev Current token is not transferred.
  * After start official token sale CSCT, you can exchange your tokens
  */
",5,5,1.0
0x8a46126dc294a8f1bf94ca2ce9019e4642083c64/MBEToken.sol:Token:balanceOf(address),"  function balanceOf(address who) public constant returns (uint256);
",no comment,"
  /**
  * @dev Gets the balance of the specified address.
  * @param _owner The address to query the the balance of.
  * @return An uint256 representing the amount owned by the passed address.
  */
",4,4,1.0
"0x4E546b4A29E2De365aE16BC7B69812Ce3fd943A7/VKTToken.sol:ERC20:transferFrom(address,address,uint256)","  function transferFrom(address from, address to, uint256 value) public returns (bool);
",no comment,"

  /**
   * @dev Transfer tokens from one address to another
   * @param _from address The address which you want to send tokens from
   * @param _to address The address which you want to transfer to
   * @param _value uint256 the amount of tokens to be transferred
   */
",5,5,1.0
"0x2fa9441B5ee69C024d54845fBbd756241485F492/AL.sol:TokenERC20:approveAndCall(address,uint256,bytes)","    function approveAndCall(address _spender, uint256 _value, bytes _extraData)
        public
        returns (bool success) {
        tokenRecipient spender = tokenRecipient(_spender);
        if (approve(_spender, _value)) {
            spender.receiveApproval(msg.sender, _value, this, _extraData);
            return true;
        }
    }
",no comment,"
    /**
     * Set allowance for other address and notify
     *
     * Allows `_spender` to spend no more than `_value` tokens in your behalf, and then ping the contract about it
     *
     * @param _spender The address authorized to spend
     * @param _value the max amount they can spend
     * @param _extraData some extra information to send to the approved contract
     */
",5,5,1.0
0x6AfEDB250FDffdFa82C08DD119f53DEe63d04577/ICOTH.sol:ERC20:totalSupply(),"  function totalSupply()
    public view returns (uint256);
",no comment,"
  /**
  * @dev total number of tokens in existence
  */
",4,4,1.0
